FF-OUT,BESSEL-OUT,NO-FILTER,TIMESTAMP
0.008803302,0.008865678,0.009314175, 2022-11-01 14:35:02.118917
0.009315195,0.009418625,0.009408607, 2022-11-01 14:35:02.123872
0.009406074,0.009243218,0.009032428, 2022-11-01 14:35:02.128792
0.009452308,0.009342149,0.008992659, 2022-11-01 14:35:02.133720
0.009395527,0.009277997,0.009141225, 2022-11-01 14:35:02.138649
0.009317653,0.009359349,0.009138352, 2022-11-01 14:35:02.143579
0.009267639,0.009384715,0.008823074, 2022-11-01 14:35:02.148501
0.009352847,0.009392957,0.008850216, 2022-11-01 14:35:02.153960
0.009320639,0.009208742,0.009184926, 2022-11-01 14:35:02.158883
0.009326536,0.009243634,0.009326914, 2022-11-01 14:35:02.163811
0.009277468,0.00908917,0.008982754, 2022-11-01 14:35:02.168739
0.009188857,0.00905458,0.008957691, 2022-11-01 14:35:02.173673
0.009110907,0.00915147,0.009168859, 2022-11-01 14:35:02.178602
0.009201068,0.009342338,0.009166515, 2022-11-01 14:35:02.183703
0.009277279,0.009241895,0.00884723, 2022-11-01 14:35:02.188633
0.009219326,0.009257924,0.008849498, 2022-11-01 14:35:02.193562
0.009238266,0.009288469,0.009132039, 2022-11-01 14:35:02.198484
0.009204583,0.009350126,0.009191919, 2022-11-01 14:35:02.203426
0.009193053,0.00930737,0.0089059, 2022-11-01 14:35:02.208355
0.00923596,0.009273196,0.008940982, 2022-11-01 14:35:02.213287
0.009242197,0.009178272,0.009276069, 2022-11-01 14:35:02.218217
0.009206511,0.009211237,0.00930204, 2022-11-01 14:35:02.223147
0.009204054,0.009245864,0.009023279, 2022-11-01 14:35:02.228073
0.009252366,0.009288242,0.009058323, 2022-11-01 14:35:02.232998
0.00926435,0.009124478,0.009188517, 2022-11-01 14:35:02.237922
0.00923354,0.009242538,0.009157216, 2022-11-01 14:35:02.242879
0.009266202,0.009272667,0.008844659, 2022-11-01 14:35:02.247800
0.00935126,0.009232898,0.008854526, 2022-11-01 14:35:02.252736
0.009363054,0.009232028,0.009039005, 2022-11-01 14:35:02.257663
0.009128788,0.009228475,0.00907507, 2022-11-01 14:35:02.262621
0.009305518,0.009240912,0.008858646, 2022-11-01 14:35:02.267524
0.009224354,0.009193015,0.00890745, 2022-11-01 14:35:02.272476
0.009195813,0.009173131,0.009123193, 2022-11-01 14:35:02.277374
0.009127238,0.009237359,0.00918451, 2022-11-01 14:35:02.282300
0.009198346,0.00923906,0.008996515, 2022-11-01 14:35:02.287226
0.009268546,0.009173207,0.008975269, 2022-11-01 14:35:02.292160
0.009249909,0.00925524,0.009221557, 2022-11-01 14:35:02.297091
0.009247641,0.009207948,0.009258755, 2022-11-01 14:35:02.302016
0.009247414,0.009221406,0.009070458, 2022-11-01 14:35:02.306950
0.009289905,0.009038589,0.009034469, 2022-11-01 14:35:02.311883
0.009210103,0.00884791,0.009281815, 2022-11-01 14:35:02.317112
0.00924783,0.009253274,0.00930393, 2022-11-01 14:35:02.322031
0.009219062,0.009309525,0.009075901, 2022-11-01 14:35:02.326961
0.00937878,0.009318106,0.009057983, 2022-11-01 14:35:02.331886
0.009379385,0.009336705,0.009184132, 2022-11-01 14:35:02.336823
0.009438509,0.009387248,0.009157632, 2022-11-01 14:35:02.341747
0.009359387,0.009428907,0.00889645, 2022-11-01 14:35:02.346674
0.009488372,0.009395414,0.008795742, 2022-11-01 14:35:02.351600
0.009488258,0.009352923,0.008935614, 2022-11-01 14:35:02.356552
0.009456768,0.00938808,0.009090682, 2022-11-01 14:35:02.361481
0.009246242,0.009363054,0.008959089, 2022-11-01 14:35:02.366457
0.009332547,0.009213391,0.008944535, 2022-11-01 14:35:02.371378
0.009242878,0.009124516,0.009142964, 2022-11-01 14:35:02.376307
0.009162508,0.009118997,0.00927123, 2022-11-01 14:35:02.381236
0.009142586,0.009017231,0.009198006, 2022-11-01 14:35:02.386169
0.009170976,0.009176117,0.009135555, 2022-11-01 14:35:02.391100
0.009193734,0.009171316,0.009136122, 2022-11-01 14:35:02.396031
0.009253765,0.00936158,0.009258113, 2022-11-01 14:35:02.400960
0.009265144,0.009294328,0.009176042, 2022-11-01 14:35:02.405888
0.009294857,0.009286805,0.008963815, 2022-11-01 14:35:02.410819
0.009328805,0.009239967,0.008975042, 2022-11-01 14:35:02.415748
0.009258717,0.009376512,0.009213807, 2022-11-01 14:35:02.420672
0.009358858,0.009340334,0.009205906, 2022-11-01 14:35:02.425606
0.009339692,0.009370842,0.009070722, 2022-11-01 14:35:02.430536
0.009424636,0.0091957,0.00898472, 2022-11-01 14:35:02.435470
0.009238795,0.009368158,0.009253009, 2022-11-01 14:35:02.440393
0.009289527,0.009368573,0.009294479, 2022-11-01 14:35:02.445318
0.00936037,0.009400328,0.009014206, 2022-11-01 14:35:02.450246
0.009339352,0.009388193,0.008969221, 2022-11-01 14:35:02.455191
0.009291531,0.009456088,0.009254143, 2022-11-01 14:35:02.460119
0.009355305,0.009297957,0.00924594, 2022-11-01 14:35:02.465048
0.009236867,0.009231045,0.008932703, 2022-11-01 14:35:02.469975
0.009384451,0.009341053,0.008846776, 2022-11-01 14:35:02.474909
0.009205339,0.009282949,0.009133929, 2022-11-01 14:35:02.479833
0.009380066,0.009262649,0.009202391, 2022-11-01 14:35:02.484763
